Month,Kubernetes (Worldwide),Managed Kubernetes (Worldwide)
2015-01,1,0
2015-02,1,0
2015-03,2,0
2015-04,2,0
2015-05,2,0
2015-06,3,0
2015-07,4,0
2015-08,3,0
2015-09,4,0
2015-10,4,1
2015-11,4,0
2015-12,4,0
2016-01,4,0
2016-02,5,0
2016-03,6,0
2016-04,7,0
2016-05,7,0
2016-06,8,0
2016-07,8,0
2016-08,8,0
2016-09,11,0
2016-10,13,0
2016-11,14,0
2016-12,14,0
2017-01,15,0
2017-02,18,0
2017-03,20,0
2017-04,21,0
2017-05,22,0
2017-06,26,0
2017-07,24,0
2017-08,26,0
2017-09,30,0
2017-10,32,14
2017-11,37,36
2017-12,33,20
2018-01,36,18
2018-02,45,24
2018-03,46,24
2018-04,47,23
2018-05,52,27
2018-06,53,22
2018-07,51,13
2018-08,54,20
2018-09,53,23
2018-10,60,22
2018-11,61,17
2018-12,53,25
2019-01,62,13
2019-02,68,30
2019-03,66,25
2019-04,68,29
2019-05,69,40
2019-06,74,34
2019-07,74,31
2019-08,75,32
2019-09,77,39
2019-10,78,31
2019-11,78,46
2019-12,65,32
2020-01,72,38
2020-02,78,41
2020-03,72,46
2020-04,75,30
2020-05,71,45
2020-06,78,43
2020-07,78,41
2020-08,72,40
2020-09,75,32
2020-10,56,40
2020-11,49,15
2020-12,49,25
2021-01,49,30
2021-02,56,18
2021-03,58,38
2021-04,56,36
2021-05,56,37
2021-06,62,41
2021-07,56,26
2021-08,56,39
2021-09,61,56
2021-10,60,55
2021-11,59,51
2021-12,53,47
2022-01,78,41
2022-02,90,56
2022-03,92,49
2022-04,92,58
2022-05,92,52
2022-06,99,56
2022-07,92,46
2022-08,100,59
2022-09,92,59
2022-10,88,60
2022-11,93,62
2022-12,81,57
2023-01,92,62
2023-02,96,63
2023-03,96,69
2023-04,83,70
2023-05,86,60
2023-06,86,83
2023-07,87,73
2023-08,88,58
2023-09,90,68
2023-10,83,73
2023-11,89,82
2023-12,74,61
2024-01,85,84
2024-02,100,100
2024-03,93,76
2024-04,95,88
2024-05,90,88
2024-06,84,88
2024-07,89,82
2024-08,90,89
2024-09,85,77
2024-10,85,76
2024-11,55,74
